id,name,role,email
24CS001,Paula Anderson,STUDENT,paulaanderson1st.cse@citchennai.net
24CS002,Fiona Taylor,STUDENT,fionataylor1st.cse@citchennai.net
24CS003,Wendy Hall,STUDENT,wendyhall1st.cse@citchennai.net
24CS004,Laura Thompson,STUDENT,laurathompson1st.cse@citchennai.net
24CS005,Victor Harris,STUDENT,victorharris1st.cse@citchennai.net
24CS006,Xavier Harris,STUDENT,xavierharris1st.cse@citchennai.net
24CS007,Bella White,STUDENT,bellawhite1st.cse@citchennai.net
24CS008,Paula Miller,STUDENT,paulamiller1st.cse@citchennai.net
24CS009,Tina Taylor,STUDENT,tinataylor1st.cse@citchennai.net
24CS010,Diana Moore,STUDENT,dianamoore1st.cse@citchennai.net
24CS011,Wendy Jackson,STUDENT,wendyjackson1st.cse@citchennai.net
24CS012,Daniel Jones,STUDENT,danieljones1st.cse@citchennai.net
24CS013,Yara Jackson,STUDENT,yarajackson1st.cse@citchennai.net
24CS014,Henry Hall,STUDENT,henryhall1st.cse@citchennai.net
24CS015,Nina Hall,STUDENT,ninahall1st.cse@citchennai.net
24CS016,Charlie Brown,STUDENT,charliebrown1st.cse@citchennai.net
24CS017,Quinn Wilson,STUDENT,quinnwilson1st.cse@citchennai.net
24CS018,Zack Anderson,STUDENT,zackanderson1st.cse@citchennai.net
24CS019,Chloe Hernandez,STUDENT,chloehernandez1st.cse@citchennai.net
24CS020,Oliver Clark,STUDENT,oliverclark1st.cse@citchennai.net
24CS021,John Smith,STUDENT,johnsmith1st.cse@citchennai.net
24CS022,Victor Lewis,STUDENT,victorlewis1st.cse@citchennai.net
24CS023,Bob Harris,STUDENT,bobharris1st.cse@citchennai.net
24CS024,Alice Hall,STUDENT,alicehall1st.cse@citchennai.net
24CS025,Henry Anderson,STUDENT,henryanderson1st.cse@citchennai.net
24CS026,Alice Taylor,STUDENT,alicetaylor1st.cse@citchennai.net
24CS027,Yara Jones,STUDENT,yarajones1st.cse@citchennai.net
24CS028,Ethan Young,STUDENT,ethanyoung1st.cse@citchennai.net
24CS029,Daniel Hall,STUDENT,danielhall1st.cse@citchennai.net
24CS030,Rachel Harris,STUDENT,rachelharris1st.cse@citchennai.net
24CS031,John Hernandez,STUDENT,johnhernandez1st.cse@citchennai.net
24CS032,Rachel Thompson,STUDENT,rachelthompson1st.cse@citchennai.net
24CS033,Jane White,STUDENT,janewhite1st.cse@citchennai.net
24CS034,Zack Brown,STUDENT,zackbrown1st.cse@citchennai.net
24CS035,Chloe Lee,STUDENT,chloelee1st.cse@citchennai.net
