id,name,role,mobile_number
LAB001,Prof. Malini Pillai,LAB_INCHARGE,8920210272
LAB002,Mr. Priya Iyer,LAB_INCHARGE,9605156312
LAB003,Prof. Rama Krishnan,LAB_INCHARGE,8804754497
LAB004,Mr. Chitra Moorthy,LAB_INCHARGE,8246388567
LAB005,Prof. Bala Shankar,LAB_INCHARGE,8002739597
LAB006,Ms. Uma Sami,LAB_INCHARGE,7557213395
LAB007,Ms. Farina Selvan,LAB_INCHARGE,9383770727
LAB008,Mr. Priya Nair,LAB_INCHARGE,8170264453
LAB009,Mr. Omprakash Shankar,LAB_INCHARGE,9877163515
LAB010,Ms. Eshwar Meena,LAB_INCHARGE,7425969378
ADV001,Prof. Bala Baskaran,ADVISOR,8710653054
ADV002,Dr. Uma Moorthy,ADVISOR,9835007157
ADV003,Dr. Jagan Nair,ADVISOR,8073814289
ADV004,Dr. Farina Kumar,ADVISOR,8285287472
ADV005,Dr. Mani Kumar,ADVISOR,8450972451
ADV006,Prof. Rajesh Varman,ADVISOR,9871364114
ADV007,Dr. Bala Moorthy,ADVISOR,7534845971
ADV008,Dr. Chitra Shankar,ADVISOR,6404431713
ADV009,Dr. Indu Murugan,ADVISOR,7841835736
ADV010,Prof. Priya Lakshmi,ADVISOR,8042856315
ADV011,Dr. Sanjay Reddy,ADVISOR,8902831482
ADV012,Dr. Kavitha Murugan,ADVISOR,7733604669
ADV013,Prof. Shobica,ADVISOR,7277320365
ADV014,Dr. Uma Nathan,ADVISOR,8477781137
ADV015,Prof. Tamil Iyer,ADVISOR,7533439007
ADV016,Dr. Harini Lakshmi,ADVISOR,7131765760
ADV017,Dr. Mani Varman,ADVISOR,6671950767
ADV018,Prof. Kavitha Kumar,ADVISOR,8876401298
ADV019,Dr. Suresh Varman,ADVISOR,7722809604
ADV020,Prof. Tamil Nair,ADVISOR,7565147010
ADV021,Dr. Farina Rajan,ADVISOR,7331838312
ADV023,Prof. Jagan Moorthy,ADVISOR,9489872299
ADV024,Prof. Jagan Prakash,ADVISOR,8540301163
ADV025,Dr. Sanjay Nair,ADVISOR,9857318529
ADV026,Prof. Bala Nair,ADVISOR,6034857805
ADV027,Prof. Arun Vignesh,ADVISOR,9797106164
ADV028,Prof. Bala Ganesh,ADVISOR,9530667945
ADV029,Prof. Indu Varman,ADVISOR,9253781686
ADV030,Dr. Sanjay Meena,ADVISOR,9239813164
ADV031,Dr. Indu Nair,ADVISOR,8619499685
ADV032,Dr. Anitha Ganesh,ADVISOR,7753188343
ADV033,Dr. Chitra Baskaran,ADVISOR,7694058061
ADV034,Prof. Bala Nathan,ADVISOR,8913164164
ADV035,Prof. Uma Lakshmi,ADVISOR,7309731796
ADV036,Dr. Uma Devi,ADVISOR,9146813528
ADV037,Prof. Arun Pillai,ADVISOR,8297259118
ADV038,Prof. Harini Nair,ADVISOR,7456388392
ADV039,Prof. Sundar Nathan,ADVISOR,7702622410
ADV040,Dr. Chitra Pillai,ADVISOR,9637644579
ADV041,Prof. Indu Meena,ADVISOR,7720334065
ADV042,Dr. Eshwar Pillai,ADVISOR,7987826370
ADV043,Prof. Indu Reddy,ADVISOR,6834967950
ADV044,Dr. Priya Moorthy,ADVISOR,9808818833
ADV045,Prof. Rajesh Pillai,ADVISOR,8550239635
ADV046,Prof. Omprakash Lakshmi,ADVISOR,9726555782
ADV047,Prof. Latha Pillai,ADVISOR,6338948101
ADV048,Prof. Malini Ganesh,ADVISOR,7808618824
ADV049,Prof. Suresh Iyer,ADVISOR,6358594640
ADV050,Prof. Naveen Lakshmi,ADVISOR,6310139365
ADV051,Prof. Deepak Nathan,ADVISOR,8156679457
ADV052,Prof. Malini Meena,ADVISOR,7639986710
ADV053,Prof. Arun Varman,ADVISOR,7330832673
ADV054,Dr. Rajesh Prakash,ADVISOR,7297047008
ADV055,Prof. Anitha Lakshmi,ADVISOR,6146222300
ADV056,Prof. Chitra Reddy,ADVISOR,8816183768
ADV057,Prof. Harini Vignesh,ADVISOR,7040756343
ADV058,Prof. Arun Kumar,ADVISOR,6243487627
ADV059,Dr. Priya Baskaran,ADVISOR,7737784042
