id,name,cgpa,marks,department,yearOfStudy,className,classAdvisorName
24CS001,Paula Anderson,9.18,85.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS002,Fiona Taylor,6.73,56.5,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS003,Wendy Hall,7.15,58.9,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS004,Laura Thompson,8.08,69.7,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS005,Victor Harris,8.11,74.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS006,Xavier Harris,9.82,93.2,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS007,Bella White,6.09,59.2,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS008,Paula Miller,10.0,93.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS009,Tina Taylor,6.9,57.6,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS010,Diana Moore,6.5,57.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS011,Wendy Jackson,7.99,72.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS012,Daniel Jones,8.62,83.6,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS013,Yara Jackson,7.5,61.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS014,Henry Hall,8.4,78.1,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS015,Nina Hall,7.36,49.5,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS016,Charlie Brown,7.69,55.9,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS017,Quinn Wilson,6.58,58.2,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS018,Zack Anderson,8.45,72.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS019,Chloe Hernandez,6.97,62.6,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS020,Oliver Clark,9.4,95.4,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS021,John Smith,7.94,69.9,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS022,Victor Lewis,6.29,48.6,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS023,Bob Harris,10.0,100.0,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS024,Alice Hall,7.11,63.2,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS025,Henry Anderson,7.96,64.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS026,Alice Taylor,6.83,74.9,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS027,Yara Jones,8.84,78.2,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS028,Ethan Young,8.5,92.5,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS029,Daniel Hall,6.72,62.0,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS030,Rachel Harris,7.47,55.5,CSE,1st,CSE-1,Prof. Bala Baskaran
