id,name,role,email
24CS001,Wendy Wilson,STUDENT,wendywilson1st.cse@citchennai.net
24CS002,Uma Young,STUDENT,umayoung1st.cse@citchennai.net
24CS003,Diana Lewis,STUDENT,dianalewis1st.cse@citchennai.net
24CS004,John Allen,STUDENT,johnallen1st.cse@citchennai.net
24CS005,Daniel Jackson,STUDENT,danieljackson1st.cse@citchennai.net
24CS006,Caleb Smith,STUDENT,calebsmith1st.cse@citchennai.net
24CS007,Sam Johnson,STUDENT,samjohnson1st.cse@citchennai.net
24CS008,George Thompson,STUDENT,georgethompson1st.cse@citchennai.net
24CS009,Henry Hall,STUDENT,henryhall1st.cse@citchennai.net
24CS010,Caleb White,STUDENT,calebwhite1st.cse@citchennai.net
24CS011,Wendy Robinson,STUDENT,wendyrobinson1st.cse@citchennai.net
24CS012,Yara Robinson,STUDENT,yararobinson1st.cse@citchennai.net
24CS013,Henry White,STUDENT,henrywhite1st.cse@citchennai.net
24CS014,Oliver Jones,STUDENT,oliverjones1st.cse@citchennai.net
24CS015,Aiden Rodriguez,STUDENT,aidenrodriguez1st.cse@citchennai.net
24CS016,Jane Taylor,STUDENT,janetaylor1st.cse@citchennai.net
24CS017,Uma Clark,STUDENT,umaclark1st.cse@citchennai.net
24CS018,Victor Lewis,STUDENT,victorlewis1st.cse@citchennai.net
24CS019,Finn Rodriguez,STUDENT,finnrodriguez1st.cse@citchennai.net
24CS020,Daniel Martinez,STUDENT,danielmartinez1st.cse@citchennai.net
24CS021,Hannah Smith,STUDENT,hannahsmith1st.cse@citchennai.net
24CS022,Paula Williams,STUDENT,paulawilliams1st.cse@citchennai.net
24CS023,Chloe Brown,STUDENT,chloebrown1st.cse@citchennai.net
24CS024,Jane Martinez,STUDENT,janemartinez1st.cse@citchennai.net
24CS025,Emily Hall,STUDENT,emilyhall1st.cse@citchennai.net
24CS026,Alice Hernandez,STUDENT,alicehernandez1st.cse@citchennai.net
24CS027,Caleb White,STUDENT,calebwhite1st.cse@citchennai.net
24CS028,Uma Taylor,STUDENT,umataylor1st.cse@citchennai.net
24CS029,Daniel Thompson,STUDENT,danielthompson1st.cse@citchennai.net
24CS030,Diana Clark,STUDENT,dianaclark1st.cse@citchennai.net
24CS001,Rachel Martinez,STUDENT,rachelmartinez1st.cse@citchennai.net
24CS002,Kevin Jackson,STUDENT,kevinjackson1st.cse@citchennai.net
24CS003,Ethan King,STUDENT,ethanking1st.cse@citchennai.net
24CS004,Lily Garcia,STUDENT,lilygarcia1st.cse@citchennai.net
24CS005,Charlie King,STUDENT,charlieking1st.cse@citchennai.net
24CS006,John Lee,STUDENT,johnlee1st.cse@citchennai.net
24CS007,Jack Martin,STUDENT,jackmartin1st.cse@citchennai.net
24CS008,Daniel Hernandez,STUDENT,danielhernandez1st.cse@citchennai.net
24CS009,Daniel Moore,STUDENT,danielmoore1st.cse@citchennai.net
24CS010,Diana Miller,STUDENT,dianamiller1st.cse@citchennai.net
24CS011,Lily Allen,STUDENT,lilyallen1st.cse@citchennai.net
24CS012,George Smith,STUDENT,georgesmith1st.cse@citchennai.net
24CS013,Daniel Garcia,STUDENT,danielgarcia1st.cse@citchennai.net
24CS014,Ethan Hernandez,STUDENT,ethanhernandez1st.cse@citchennai.net
24CS015,Bella Lewis,STUDENT,bellalewis1st.cse@citchennai.net
24CS016,Bob Thomas,STUDENT,bobthomas1st.cse@citchennai.net
24CS017,Laura Lewis,STUDENT,lauralewis1st.cse@citchennai.net
24CS018,Diana Moore,STUDENT,dianamoore1st.cse@citchennai.net
24CS019,Mike White,STUDENT,mikewhite1st.cse@citchennai.net
24CS020,Lily Rodriguez,STUDENT,lilyrodriguez1st.cse@citchennai.net
24CS021,Nina Robinson,STUDENT,ninarobinson1st.cse@citchennai.net
24CS022,Emily Moore,STUDENT,emilymoore1st.cse@citchennai.net
24CS023,Chloe Jones,STUDENT,chloejones1st.cse@citchennai.net
24CS024,Quinn Thompson,STUDENT,quinnthompson1st.cse@citchennai.net
24CS025,Fiona Hall,STUDENT,fionahall1st.cse@citchennai.net
24CS026,Wendy Hernandez,STUDENT,wendyhernandez1st.cse@citchennai.net
24CS027,Fiona Anderson,STUDENT,fionaanderson1st.cse@citchennai.net
24CS028,Emily Clark,STUDENT,emilyclark1st.cse@citchennai.net
24CS029,Aiden Rodriguez,STUDENT,aidenrodriguez1st.cse@citchennai.net
