id,name,role,mobile_number
LAB001,Ms. Latha Ganesh,LAB_INCHARGE,8233550251
LAB002,Ms. Bala Pillai,LAB_INCHARGE,9179453509
LAB003,Prof. Arun Meena,LAB_INCHARGE,6174962191
LAB004,Ms. Harini Nair,LAB_INCHARGE,6936151021
LAB005,Ms. Sundar Baskaran,LAB_INCHARGE,9473709481
LAB006,Prof. Kavitha Lakshmi,LAB_INCHARGE,7338129045
LAB007,Prof. Rajesh Moorthy,LAB_INCHARGE,6697662120
LAB008,Mr. Karthik Nair,LAB_INCHARGE,7550042539
LAB009,Mr. Priya Rajan,LAB_INCHARGE,6148282432
LAB010,Mr. Uma Meena,LAB_INCHARGE,7079828258
ADV001,Prof. Shobica,ADVISOR,9677433720
ADV002,Prof. Eshwar Lakshmi,ADVISOR,6354643905
ADV003,Dr. Omprakash Nathan,ADVISOR,6743738149
ADV004,Dr. Farina Varman,ADVISOR,7294325355
ADV005,Dr. Rajesh Shankar,ADVISOR,9458738420
ADV006,Prof. Sundar Moorthy,ADVISOR,8293071331
ADV007,Dr. Tamil Nair,ADVISOR,9281769077
ADV008,Dr. Naveen Iyer,ADVISOR,6939114455
ADV009,Dr. Farina Moorthy,ADVISOR,6120522803
ADV010,Prof. Sanjay Shankar,ADVISOR,7579113760
ADV011,Prof. Priya Pillai,ADVISOR,8287102635
ADV012,Prof. Jagan Pillai,ADVISOR,9375551003
ADV013,Dr. Tamil Baskaran,ADVISOR,7734320779
ADV014,Dr. Farina Devi,ADVISOR,9187186441
ADV015,Prof. Arun Nair,ADVISOR,9616975337
ADV016,Dr. Harini Vignesh,ADVISOR,6192364818
ADV017,Prof. Eshwar Prakash,ADVISOR,9259789436
ADV018,Prof. Bala Kumar,ADVISOR,6012917964
ADV019,Prof. Tamil Murugan,ADVISOR,8052337636
ADV020,Dr. Suresh Vignesh,ADVISOR,7787349902
ADV021,Prof. Chitra Devi,ADVISOR,6712996014
ADV022,Dr. Mani Vignesh,ADVISOR,9696100928
ADV023,Prof. Rajesh Sami,ADVISOR,7223045887
ADV024,Dr. Indu Meena,ADVISOR,8656930662
ADV025,Prof. Mani Sami,ADVISOR,9519861876
ADV026,Prof. Indu Prakash,ADVISOR,8464447120
ADV027,Dr. Mani Murugan,ADVISOR,7266073825
ADV028,Dr. Priya Moorthy,ADVISOR,7723735414
ADV029,Dr. Suresh Varman,ADVISOR,6585289903
ADV030,Dr. Anitha Baskaran,ADVISOR,9325057283
ADV031,Dr. Mani Selvan,ADVISOR,9428472688
ADV032,Dr. Sanjay Nathan,ADVISOR,7770165235
ADV033,Dr. Jagan Shankar,ADVISOR,8870568634
ADV034,Prof. Arun Prakash,ADVISOR,9318222819
ADV035,Dr. Uma Baskaran,ADVISOR,9577215197
ADV036,Dr. Latha Nair,ADVISOR,6487635044
ADV037,Dr. Priya Selvan,ADVISOR,8966356219
ADV038,Dr. Naveen Sami,ADVISOR,7891554825
ADV039,Prof. Gopal Devi,ADVISOR,6388112890
