id,name,cgpa,marks,department,yearOfStudy,className,classAdvisorName
24CS001,Wendy Wilson,6.59,49.0,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS002,Uma Young,8.86,94.1,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS003,Diana Lewis,6.42,66.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS004,John Allen,7.26,62.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS005,Daniel Jackson,7.03,65.1,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS006,Caleb Smith,6.72,64.7,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS007,Sam Johnson,8.84,70.4,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS008,George Thompson,8.06,77.2,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS009,Henry Hall,7.57,77.6,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS010,Caleb White,7.38,69.0,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS011,Wendy Robinson,8.52,74.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS012,Yara Robinson,7.99,74.2,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS013,Henry White,6.74,66.4,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS014,Oliver Jones,8.67,69.2,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS015,Aiden Rodriguez,8.23,68.4,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS016,Jane Taylor,7.63,54.7,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS017,Uma Clark,7.62,73.0,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS018,Victor Lewis,8.26,68.6,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS019,Finn Rodriguez,6.44,58.9,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS020,Daniel Martinez,10.0,100.0,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS021,Hannah Smith,6.77,55.7,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS022,Paula Williams,9.34,89.6,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS023,Chloe Brown,9.48,72.5,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS024,Jane Martinez,8.2,80.4,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS025,Emily Hall,9.78,82.0,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS026,Alice Hernandez,8.27,74.6,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS027,Caleb White,8.59,71.8,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS028,Uma Taylor,8.94,81.0,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS029,Daniel Thompson,7.83,77.0,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS030,Diana Clark,9.15,85.5,CSE,1st,CSE-1,Prof. Bala Baskaran
24CS001,Rachel Martinez,5.78,56.1,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS002,Kevin Jackson,8.26,80.8,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS003,Ethan King,7.37,60.7,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS004,Lily Garcia,5.99,58.7,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS005,Charlie King,7.27,65.8,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS006,John Lee,7.48,61.1,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS007,Jack Martin,8.96,72.5,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS008,Daniel Hernandez,7.58,77.9,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS009,Daniel Moore,8.63,89.4,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS010,Diana Miller,7.19,66.0,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS011,Lily Allen,8.3,63.6,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS012,George Smith,6.13,46.6,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS013,Daniel Garcia,7.93,67.0,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS014,Ethan Hernandez,8.21,73.1,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS015,Bella Lewis,9.76,72.3,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS016,Bob Thomas,6.28,64.7,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS017,Laura Lewis,7.6,86.2,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS018,Diana Moore,8.83,77.3,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS019,Mike White,8.27,73.4,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS020,Lily Rodriguez,6.08,58.6,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS021,Nina Robinson,6.59,51.0,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS022,Emily Moore,8.13,91.5,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS023,Chloe Jones,9.01,83.6,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS024,Quinn Thompson,7.94,75.6,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS025,Fiona Hall,7.92,81.3,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS026,Wendy Hernandez,7.22,60.3,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS027,Fiona Anderson,6.82,64.1,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS028,Emily Clark,6.8,53.8,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS029,Aiden Rodriguez,7.57,62.3,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS030,Emily Martinez,7.01,66.4,CSE,1st,CSE-2,Dr. Uma Moorthy
24CS001,Emily Clark,7.78,64.5,CSE,1st,CSE-3,Dr. Jagan Nair
24CS002,Uma Young,8.46,80.6,CSE,1st,CSE-3,Dr. Jagan Nair
